aaba	æː b æ
orgi	ɔ r ɡ i
oriental	ɔ r i e n t æ l
oriogun	ɔ r i ɔ ɡ u n
oriolowo	ɔ r i ɔ l ɔ w ɔ
oritse	ɔ r i t s e
oriya	ɔ r i j æ
orkar	ɔ r k æ r
orkhan	ɔ r χ æ n
orlando	ɔ r l æ n d ɔ
oro	ɔ r ɔ
oromia	ɔ r ɔ m i æ
oromo	ɔ r ɔ m ɔ
orompoto	ɔ r ɔ m ɔ t ɔ
orphism	ɔ r h i s m
orsay	ɔ r s æ j
orsi	ɔ r s i
ortega	ɔ r t e ɡ æ
ortoble	ɔ r t ɔ b l e
orwel	ɔ r w e l
os	ɔ s
osama	ɔ s æ m æ
osamah	ɔ s æ m æ h
osaro	ɔ s æ r ɔ
osas	ɔ s æ s
osasco	ɔ s æ s ʕ ɔ
osasko	ɔ s æ s k ɔ
osasu	ɔ s æ s u
osathanond	ɔ s æ t h æ n ɔ n d
oscar	ɔ s ʕ æ r
osei	ɔ s e i
osh	ɔ ʃ
oshin	ɔ ʃ i n
oshodi	ɔ ʃ ɔ d i
osiris	ɔ s i r i s
osita	ɔ s i t æ
oslo	ɔ s l ɔ
osman	ɔ s m æ n
osmanl	ɔ s m æ n l
osmanova	ɔ s m æ n ɔ æ
osmium	ɔ s m i u m
osmiyaam	ɔ s m i j æː m
osmose	ɔ s m ɔ s e
osondu	ɔ s ɔ n d u
ossai	ɔ s s æ i
ossetia	ɔ s s e t i æ
ostariya	ɔ s t æ r i j æ
ostr	ɔ s t r
osu	ɔ s u
osunde	ɔ s u n d e
osunsanya	ɔ s u n s æ n j æ
osvaldo	ɔ s æ l d ɔ
otanwa	ɔ t æ n w æ
oti	ɔ t i
otieno	ɔ t i e n ɔ
otiono	ɔ t i ɔ n ɔ
otismo	ɔ t i s m ɔ
oto	ɔ t ɔ
otoniya	ɔ t ɔ n i j æ
ott	ɔ t t
ottawa	ɔ t t æ w æ
otten	ɔ t t e n
otto	ɔ t t ɔ
ottoman	ɔ t t ɔ m æ n
ottosen	ɔ t t ɔ s e n
ouagadougou	ɔ u æ ɡ æ d ɔ u ɡ ɔ u
oube	ɔ u b e
oued	ɔ u e d
ougadougou	ɔ u ɡ æ d ɔ u ɡ ɔ u
ouguiya	ɔ u ɡ u i j æ
oui	ɔ u i
oujda	ɔ u d͡ʒ d æ
oumie	ɔ u m i e
oussama	ɔ u s s æ m æ
oustean	ɔ u s t e æ n
out	ɔ u t
ov	ɔ
ovce	ɔ ʕ e
overbeek	ɔ e r b eː k
overijssel	ɔ e r i d͡ʒ s s e l
ovidiu	ɔ i d i u
oviedo	ɔ i e d ɔ
owanto	ɔ w æ n t ɔ
owhefere	ɔ w h e f e r e
owi	ɔ w i
owkland	ɔ w k l æ n d
owoh	ɔ w ɔ h
oxford	ɔ ħ f ɔ r d
oxpecker	ɔ ħ e ʕ k e r
oxygen	ɔ ħ j ɡ e n
oye	ɔ j e
oyebade	ɔ j e b æ d e
oyesola	ɔ j e s ɔ l æ
oyeyemi	ɔ j e j e m i
oyun	ɔ j u n
ozan	ɔ æ n
ozawa	ɔ æ w æ
ozil	ɔ i l
paballo	æ b æ l l ɔ
pablo	æ b l ɔ
pacheco	æ ʕ h e ʕ ɔ
pacific	æ ʕ i f i ʕ
packalen	æ ʕ k æ l e n
paco	æ ʕ ɔ
padukone	æ d u k ɔ n e
paes	æ e s
page	æ ɡ e
pagnino	æ ɡ n i n ɔ
paheli	æ h e l i
pahlavi	æ h l æ i
pain	æ i n
paiva	æ i æ
pakistan	æ k i s t æ n
palace	æ l æ ʕ e
palembang	æ l e m b æ n ɡ
palermo	æ l e r m ɔ
palestine	æ l e s t i n e
pali	æ l i
palladium	æ l l æ d i u m
pallance	æ l l æ n ʕ e
palmeira	æ l m e i r æ
palmiste	æ l m i s t e
palvin	æ l i n
pambata	æ m b æ t æ
pamela	æ m e l æ
pan	æ n
panagio	æ n æ ɡ i ɔ
panchira	æ n ʕ h i r æ
panday	æ n d æ j
pangar	æ n ɡ æ r
pangea	æ n ɡ e æ
panhard	æ n h æ r d
panwar	æ n w æ r
paolla	æ ɔ l l æ
papadopoulos	æ æ d ɔ ɔ u l ɔ s
papaioannou	æ æ i ɔ æ n n ɔ u
papazoglou	æ æ ɔ ɡ l ɔ u
papu	æ u
paraguay	æ r æ ɡ u æ j
paramaribo	æ r æ m æ r i b ɔ
paramore	æ r æ m ɔ r e
paran	æ r æ n
paredes	æ r e d e s
paris	æ r i s
pariss	æ r i s s
park	æ r k
parker	æ r k e r
parrot	æ r r ɔ t
parruque	æ r r u q u e
parsons	æ r s ɔ n s
parthipakoranchai	æ r t h i æ k ɔ r æ n ʕ h æ i
party	æ r t j
parvez	æ r e
pascha	æ s ʕ h æ
pashi	æ ʃ i
pasta	æ s t æ
patani	æ t æ n i
patel	æ t e l
patemba	æ t e m b æ
patience	æ t i e n ʕ e
pato	æ t ɔ
paton	æ t ɔ n
patoranking	æ t ɔ r æ n k i n ɡ
patra	æ t r æ
patrice	æ t r i ʕ e
patrick	æ t r i ʕ k
patriot	æ t r i ɔ t
patrol	æ t r ɔ l
patta	æ t t æ
patty	æ t t j
paul	æ u l
paula	æ u l æ
paulina	æ u l i n æ
pauline	æ u l i n e
paulo	æ u l ɔ
paulownia	æ u l ɔ w n i æ
pavloski	æ l ɔ s k i
pawlo	æ w l ɔ
paypal	æ j æ l
pays	æ j s
pb	b
pd	d
peanut	e æ n u t
pearl	e æ r l
pearlena	e æ r l e n æ
pedaru	e d æ r u
pedra	e d r æ
pedretti	e d r e t t i
pedro	e d r ɔ
pegasi	e ɡ æ s i
pegaso	e ɡ æ s ɔ
pegasus	e ɡ æ s u s
pelser	e l s e r
penev	e n e
penh	e n h
penikett	e n i k e t t
peninsula	e n i n s u l æ
pennsylvania	e n n s j l æ n i æ
penny	e n n j
penthouse	e n t h ɔ u s e
people	e ɔ l e
peoples	e ɔ l e s
per	e r
percy	e r ʕ j
perfecttv	e r f e ʕ t t
period	e r i ɔ d
periplus	e r i l u s
perpetua	e r e t u æ
perrie	e r r i e
perry	e r r j
persepolis	e r s e ɔ l i s
perseus	e r s e u s
persian	e r s i æ n
persie	e r s i e
persson	e r s s ɔ n
perth	e r t h
peru	e r u
perum	e r u m
peruri	e r u r i
pesantren	e s æ n t r e n
peseta	e s e t æ
peshkabir	e ʃ k æ b i r
peso	e s ɔ
pesse	e s s e
peter	e t e r
petersburg	e t e r s b u r ɡ
petersen	e t e r s e n
peterside	e t e r s i d e
petra	e t r æ
petrit	e t r i t
petrol	e t r ɔ l
petroleum	e t r ɔ l e u m
petrolicious	e t r ɔ l i ʕ i ɔ u s
petrus	e t r u s
petsch	e t s ʕ h
pettibone	e t t i b ɔ n e
pewdiepie	e w d i e i e
peyton	e j t ɔ n
pez	e
ph	h
phai	h æ i
phantom	h æ n t ɔ m
pharmacy	h æ r m æ ʕ j
phaswane	h æ s w æ n e
pheelz	h eː l
pheto	h e t ɔ
phil	h i l
philadelphia	h i l æ d e l h i æ
philip	h i l i
philippa	h i l i æ
philippines	h i l i i n e s
phillip	h i l l i
phillippa	h i l l i æ
phindiwe	h i n d i w e
phiri	h i r i
phnom	h n ɔ m
phobos	h ɔ b ɔ s
phoebe	h ɔ e b e
phoenix	h ɔ e n i ħ
phone	h ɔ n e
phongsathon	h ɔ n ɡ s æ t h ɔ n
phosphorus	h ɔ s h ɔ r u s
photijak	h ɔ t i d͡ʒ æ k
photo	h ɔ t ɔ
photoplay	h ɔ t ɔ l æ j
phumzile	h u m i l e
phyno	h j n ɔ
pi	i
piana	i æ n æ
piano	i æ n ɔ
piaz	i æ
picasso	i ʕ æ s s ɔ
pico	i ʕ ɔ
pidgins	i d ɡ i n s
piedra	i e d r æ
pienaar	i e n æː r
pierneef	i e r n eː f
pierre	i e r r e
piet	i e t
pieter	i e t e r
pieterse	i e t e r s e
pigozzi	i ɡ ɔ i
pille	i l l e
pindad	i n d æ d
pineida	i n e i d æ
pink	i n k
pinku	i n k u
pinnock	i n n ɔ ʕ k
pinocchio	i n ɔ ʕ ʕ h i ɔ
pinochet	i n ɔ ʕ h e t
piranshahr	i r æ n ʃ æ h r
pirate	i r æ t e
pires	i r e s
piso	i s ɔ
pita	i t æ
pitbull	i t b u l l
pitch	i t ʕ h
pitty	i t t j
pius	i u s
pivovarova	i ɔ æ r ɔ æ
pizza	i æ
plan	l æ n
plane	l æ n e
planet	l æ n e t
planets	l æ n e t s
plans	l æ n s
plant	l æ n t
plantae	l æ n t æ e
platinum	l æ t i n u m
play	l æ j
playboy	l æ j b ɔ j
playmobil	l æ j m ɔ b i l
plymouth	l j m ɔ u t h
pnictogen	n i ʕ t ɔ ɡ e n
po	ɔ
poco	ɔ ʕ ɔ
podgorica	ɔ d ɡ ɔ r i ʕ æ
podolski	ɔ d ɔ l s k i
pointe	ɔ i n t e
pokela	ɔ k e l æ
pokemon	ɔ k e m ɔ n
poker	ɔ k e r
poland	ɔ l æ n d
pole	ɔ l e
policy	ɔ l i ʕ j
polikarps	ɔ l i k æ r s
polonium	ɔ l ɔ n i u m
poly	ɔ l j
polytechnic	ɔ l j t e ʕ h n i ʕ
polytechnique	ɔ l j t e ʕ h n i q u e
pompidou	ɔ m i d ɔ u
ponta	ɔ n t æ
pontif	ɔ n t i f
poole	ɔː l e
pools	ɔː l s
poonlarp	ɔː n l æ r
pop	ɔ
popcorn	ɔ ʕ ɔ r n
popeye	ɔ e j e
pornhub	ɔ r n h u b
pornopedia	ɔ r n ɔ e d i æ
pornotube	ɔ r n ɔ t u b e
porsche	ɔ r s ʕ h e
port	ɔ r t
portia	ɔ r t i æ
portland	ɔ r t l æ n d
portman	ɔ r t m æ n
porto	ɔ r t ɔ
ports	ɔ r t s
portugal	ɔ r t u ɡ æ l
pos	ɔ s
positive	ɔ s i t i e
posley	ɔ s l e j
post	ɔ s t
postma	ɔ s t m æ
potassium	ɔ t æ s s i u m
potou	ɔ t ɔ u
pound	ɔ u n d
poverty	ɔ e r t j
powiat	ɔ w i æ t
poxviruses	ɔ ħ i r u s e s
ppen	e n
pr	r
prada	r æ d æ
praesa	r æ e s æ
praia	r æ i æ
prainha	r æ i n h æ
prattes	r æ t t e s
prayut	r æ j u t
preben	r e b e n
precalculus	r e ʕ æ l ʕ u l u s
precambrian	r e ʕ æ m b r i æ n
prefer	r e f e r
pregui	r e ɡ u i
preity	r e i t j
prem	r e m
premier	r e m i e r
preneuse	r e n e u s e
presles	r e s l e s
presley	r e s l e j
preterintention	r e t e r i n t e n t i ɔ n
pretoria	r e t ɔ r i æ
previtali	r e i t æ l i
pride	r i d e
pridi	r i d i
primary	r i m æ r j
prime	r i m e
prince	r i n ʕ e
princess	r i n ʕ e s s
principe	r i n ʕ i e
prinsipe	r i n s i e
prinsloo	r i n s l ɔː
print	r i n t
priyanka	r i j æ n k æ
pro	r ɔ
product	r ɔ d u ʕ t
production	r ɔ d u ʕ t i ɔ n
program	r ɔ ɡ r æ m
project	r ɔ d͡ʒ e ʕ t
prometheus	r ɔ m e t h e u s
promises	r ɔ m i s e s
prospect	r ɔ s e ʕ t
prospects	r ɔ s e ʕ t s
protection	r ɔ t e ʕ t i ɔ n
protectorate	r ɔ t e ʕ t ɔ r æ t e
protein	r ɔ t e i n
proteus	r ɔ t e u s
protocol	r ɔ t ɔ ʕ ɔ l
proton	r ɔ t ɔ n
province	r ɔ i n ʕ e
proxima	r ɔ ħ i m æ
proxy	r ɔ ħ j
prp	r
prudnik	r u d n i k
ps	s
psf	s f
psy	s j
pt	t
pteridospermatophyta	t e r i d ɔ s e r m æ t ɔ h j t æ
public	u b l i ʕ
publici	u b l i ʕ i
puc	u ʕ
puggaard	u ɡ ɡ æː r d
puhl	u h l
pule	u l e
pulk	u l k
pumuang	u m u æ n ɡ
punk	u n k
punt	u n t
puntland	u n t l æ n d
puntlander	u n t l æ n d e r
punwet	u n w e t
purchase	u r ʕ h æ s e
purpuraires	u r u r æ i r e s
pushback	u ʃ b æ ʕ k
putaansuu	u t æː n s uː
pyjamas	j d͡ʒ æ m æ s
pype	j e
pythagoras	j t h æ ɡ ɔ r æ s
qaabka	q æː b k æ
qaaci	q æː ʕ i
qaacida	q æː ʕ i d æ
qaacidda	q æː ʕ i d d æ
qaad	q æː d
qaadir	q æː d i r
qaadisiya	q æː d i s i j æ
qaadista	q æː d i s t æ
qaadka	q æː d k æ
qaado	q æː d ɔ
qaahira	q æː h i r æ
qaahiro	q æː h i r ɔ
qaalib	q æː l i b
qaamo	q æː m ɔ
qaamuus	q æː m uː s
qaamuuska	q æː m uː s k æ
qaando	q æː n d ɔ
qaangaadh	q æː n ɡ æː ɖ
qaansa	q æː n s æ
qaanso	q æː n s ɔ
qaansuu	q æː n s uː
qaanuuni	q æː n uː n i
qaanuunka	q æː n uː n k æ
qaanuunyo	q æː n uː n j ɔ
qaarad	q æː r æ d
qaarada	q æː r æ d æ
qaaradaha	q æː r æ d æ h æ
qaaradhoosaad	q æː r æ ɖ ɔː s æː d
qaareey	q æː r eː j
qaarey	q æː r e j
qaasi	q æː s i
qaasim	q æː s i m
qaati	q æː t i
qaawanaanta	q æː w æ n æː n t æ
qaayib	q æː j i b
qaaytibaay	q æː j t i b æː j
qabaal	q æ b æː l
qabandhacow	q æ b æ n ɖ æ ʕ ɔ w
qabar	q æ b æ r
qabasho	q æ b æ ʃ ɔ
qabe	q æ b e
qabid	q æ b i d
qabiil	q æ b iː l
qabiilada	q æ b iː l æ d æ
qabiilka	q æ b iː l k æ
qabiilo	q æ b iː l ɔ
qaboobaa	q æ b ɔː b æː
qaboow	q æ b ɔː w
qabow	q æ b ɔ w
qabribayax	q æ b r i b æ j æ ħ
qabrus	q æ b r u s
qabsashada	q æ b s æ ʃ æ d æ
qabso	q æ b s ɔ
qabtaa	q æ b t æː
qabuuraha	q æ b uː r æ h æ
qabyaalad	q æ b j æː l æ d
qabyaalada	q æ b j æː l æ d æ
qacdah	q æ ʕ d æ h
qadaafi	q æ d æː f i
qadar	q æ d æ r
qaddafi	q æ d d æ f i
qadhaabsade	q æ ɖ æː b s æ d e
qadhaabsato	q æ ɖ æː b s æ t ɔ
qadhaabsi	q æ ɖ æː b s i
qadhaadh	q æ ɖ æː ɖ
qadi	q æ d i
qadiimiga	q æ d iː m i ɡ æ
qadir	q æ d i r
qadiyad	q æ d i j æ d
qadiyadda	q æ d i j æ d d æ
qado	q æ d ɔ
qafaal	q æ f æː l
qafqaas	q æ f q æː s
qaitbay	q æ i t b æ j
qajaar	q æ d͡ʒ æː r
qaji	q æ d͡ʒ i
qalaafe	q æ l æː f e
qalab	q æ l æ b
qalabka	q æ l æ b k æ
qaladaad	q æ l æ d æː d
qalajiyaha	q æ l æ d͡ʒ i j æ h æ
qalalaasaha	q æ l æ l æː s æ h æ
qalalab	q æ l æ l æ b
qalam	q æ l æ m
qalanjo	q æ l æ n d͡ʒ ɔ
qalas	q æ l æ s
qalasho	q æ l æ ʃ ɔ
qalato	q æ l æ t ɔ
qalcadda	q æ l ʕ æ d d æ
qalfoof	q æ l f ɔː f
qalhat	q æ l h æ t
qaliin	q æ l iː n
qalimoow	q æ l i m ɔː w
qalimow	q æ l i m ɔ w
qalin	q æ l i n
qallaafe	q æ l l æː f e
qallaafo	q æ l l æː f ɔ
qallal	q æ l l æ l
qalliinka	q æ l l iː n k æ
qallooc	q æ l l ɔː ʕ
qaloon	q æ l ɔː n
qamadi	q æ m æ d i
qamata	q æ m æ t æ
qanaan	q æ n æː n
qandal	q æ n d æ l
qandala	q æ n d æ l æ
qandaraaska	q æ n d æ r æː s k æ
qandhicilay	q æ n ɖ i ʕ i l æ j
qaniimeynta	q æ n iː m e j n t æ
qansax	q æ n s æ ħ
qansaxdheere	q æ n s æ ħ ɖ eː r e
qansaxle	q æ n s æ ħ l e
qanyare	q æ n j æ r e
qaraabakiil	q æ r æː b æ k iː l
qaraabo	q æ r æː b ɔ
qaraabsi	q æ r æː b s i
qaraami	q æ r æː m i
qaraaxo	q æ r æː ħ ɔ
qaramada	q æ r æ m æ d æ
qarameed	q æ r æ m eː d
qaran	q æ r æ n
qaranaka	q æ r æ n æ k æ
qaranka	q æ r æ n k æ
qarankhaacinta	q æ r æ n χ æː ʕ i n t æ
qararo	q æ r æ r ɔ
qaraw	q æ r æ w
qarax	q æ r æ ħ
qaraxii	q æ r æ ħ iː
qarboosh	q æ r b ɔː ʃ
qardas	q æ r d æ s
qardhaas	q æ r ɖ æː s
qardho	q æ r ɖ ɔ
qare	q æ r e
qargistan	q æ r ɡ i s t æ n
qaris	q æ r i s
qarni	q æ r n i
qarniga	q æ r n i ɡ æ
qarnigii	q æ r n i ɡ iː
qarqoora	q æ r q ɔː r æ
qarraac	q æ r r æː ʕ
qarraaf	q æ r r æː f
qarshe	q æ r ʃ e
qarxin	q æ r ħ i n
qarxinta	q æ r ħ i n t æ
qarxis	q æ r ħ i s
qaryad	q æ r j æ d
qasa	q æ s æ
qasab	q æ s æ b
qasabkii	q æ s æ b k iː
qasaxdheere	q æ s æ ħ ɖ eː r e
qashiir	q æ ʃ iː r
qashin	q æ ʃ i n
qashinka	q æ ʃ i n k æ
qasr	q æ s r
qasriga	q æ s r i ɡ æ
qassab	q æ s s æ b
qaswiin	q æ s w iː n
qatar	q æ t æ r
qaw	q æ w
qawga	q æ w ɡ æ
qawqaas	q æ w q æː s
qaxdaan	q æ ħ d æː n
qaxdaaniyiin	q æ ħ d æː n i j iː n
qaxii	q æ ħ iː
qaxooti	q æ ħ ɔː t i
qaxootiga	q æ ħ ɔː t i ɡ æ
qaxwaha	q æ ħ w æ h æ
qaxwe	q æ ħ w e
qayaad	q æ j æː d
qaybaha	q æ j b æ h æ
qaybin	q æ j b i n
qaybkasta	q æ j b k æ s t æ
qaybo	q æ j b ɔ
qaybta	q æ j b t æ
qaydara	q æ j d æ r æ
qaydaro	q æ j d æ r ɔ
qazwiin	q æ w iː n
qceel	q ʕ eː l
qdot	q d ɔ t
qeenid	q eː n i d
qeero	q eː r ɔ
qeshm	q e ʃ m
qeybin	q e j b i n
qeybta	q e j b t æ
qeysar	q e j s æ r
qi	q i
qiblo	q i b l ɔ
qibtiyya	q i b t i j j æ
qiime	q iː m e
qiiq	q iː q
qilij	q i l i d͡ʒ
qin	q i n
qir	q i r
qiyaame	q i j æː m e
qiyaasta	q i j æː s t æ
qm	q m
qmm	q m m
qobyaxaas	q ɔ b j æ ħ æː s
qodox	q ɔ d ɔ ħ
qof	q ɔ f
qofka	q ɔ f k æ
qol	q ɔ l
qolfoofta	q ɔ l f ɔː f t æ
qolka	q ɔ l k æ
qolo	q ɔ l ɔ
qolobaa	q ɔ l ɔ b æː
qolof	q ɔ l ɔ f
qolofta	q ɔ l ɔ f t æ
qoob	q ɔː b
qoodi	q ɔː d i
qoolaaw	q ɔː l æː w
qooleey	q ɔː l eː j
qoomaal	q ɔː m æː l
qoondar	q ɔː n d æ r
qoone	q ɔː n e
qoopane	q ɔː æ n e
qooq	q ɔː q
qooqaas	q ɔː q æː s
qooqi	q ɔː q i
qooqlaawaha	q ɔː q l æː w æ h æ
qooqlaawe	q ɔː q l æː w e
qooqnimo	q ɔː q n i m ɔ
qoor	q ɔː r
qoorgooye	q ɔː r ɡ ɔː j e
qoori	q ɔː r i
qoorte	q ɔː r t e
qoqah	q ɔ q æ h
qoraa	q ɔ r æː
qoraal	q ɔ r æː l
qorax	q ɔ r æ ħ
qoraxda	q ɔ r æ ħ d æ
qoraxdu	q ɔ r æ ħ d u
qoraxmadoobe	q ɔ r æ ħ m æ d ɔː b e
qoray	q ɔ r æ j
qori	q ɔ r i
qoriley	q ɔ r i l e j
qorilugud	q ɔ r i l u ɡ u d
qoriyooley	q ɔ r i j ɔː l e j
qormo	q ɔ r m ɔ
qorniinka	q ɔ r n iː n k æ
qorof	q ɔ r ɔ f
qorofka	q ɔ r ɔ f k æ
qorrax	q ɔ r r æ ħ
qorraxda	q ɔ r r æ ħ d æ
qorshaha	q ɔ r ʃ æ h æ
qorshayn	q ɔ r ʃ æ j n
qortem	q ɔ r t e m
qoryaale	q ɔ r j æː l e
qoryale	q ɔ r j æ l e
qoryoley	q ɔ r j ɔ l e j
qoryooley	q ɔ r j ɔː l e j
qosol	q ɔ s ɔ l
qowmiyada	q ɔ w m i j æ d æ
qowmiyadaha	q ɔ w m i j æ d æ h æ
qoxooti	q ɔ ħ ɔː t i
qoxootiga	q ɔ ħ ɔː t i ɡ æ
qoyaaneedka	q ɔ j æː n eː d k æ
qoyan	q ɔ j æ n
qoys	q ɔ j s
qoyska	q ɔ j s k æ
qoyskii	q ɔ j s k iː
qu	q u
quadratic	q u æ d r æ t i ʕ
quang	q u æ n ɡ
quarterly	q u æ r t e r l j
qubi	q u b i
qubo	q u b ɔ
qubrista	q u b r i s t æ
qubrus	q u b r u s
qudha	q u ɖ æ
qudhac	q u ɖ æ ʕ
qudhacdhallaan	q u ɖ æ ʕ ɖ æ l l æː n
qudoos	q u d ɔː s
qudub	q u d u b
qudus	q u d u s
quduska	q u d u s k æ
quduuska	q u d uː s k æ
quduz	q u d u
quebec	q u e b e ʕ
quebra	q u e b r æ
queen	q u eː n
queensland	q u eː n s l æ n d
question	q u e s t i ɔ n
quhafa	q u h æ f æ
quick	q u i ʕ k
quicombo	q u i ʕ ɔ m b ɔ
quito	q u i t ɔ
quiznos	q u i n ɔ s
quljeed	q u l d͡ʒ eː d
qulub	q u l u b
qulujeed	q u l u d͡ʒ eː d
qulus	q u l u s
qumbe	q u m b e
qumman	q u m m æ n
qun	q u n
qur	q u r
qura	q u r æ
quraac	q u r æː ʕ
quraan	q u r æː n
quraaniya	q u r æː n i j æ
quraanka	q u r æː n k æ
quraansho	q u r æː n ʃ ɔ
qurac	q u r æ ʕ
quracmadoobe	q u r æ ʕ m æ d ɔː b e
quraishi	q u r æ i ʃ i
quran	q u r æ n
quraniyoon	q u r æ n i j ɔː n
quraysh	q u r æ j ʃ
qurbaha	q u r b æ h æ
qurbajoog	q u r b æ d͡ʒ ɔː ɡ
qurbajoogta	q u r b æ d͡ʒ ɔː ɡ t æ
qurbe	q u r b e
qurbo	q u r b ɔ
qurdhaale	q u r ɖ æː l e
qureebaad	q u r eː b æː d
qureec	q u r eː ʕ
qurquud	q u r q uː d
quruumaha	q u r uː m æ h æ
qurux	q u r u ħ
qurxinta	q u r ħ i n t æ
qus	q u s
qusayi	q u s æ j i
qutaylah	q u t æ j l æ h
qutbi	q u t b i
quteyba	q u t e j b æ
qutulmush	q u t u l m u ʃ
quus	q uː s
quustay	q uː s t æ j
quwintary	q u w i n t æ r j
qwerty	q w e r t j
ra	r æ
raab	r æː b
raabiyada	r æː b i j æ d æ
raac	r æː ʕ
raaciyaal	r æː ʕ i j æː l
raaco	r æː ʕ ɔ
raad	r æː d
raadhiyaam	r æː ɖ i j æː m
raadhoon	r æː ɖ ɔː n
raadinta	r æː d i n t æ
raagaya	r æː ɡ æ j æ
raage	r æː ɡ e
raagge	r æː ɡ ɡ e
raameey	r æː m eː j
raamey	r æː m e j
raamiyiinta	r æː m i j iː n t æ
raan	r æː n
raaribuul	r æː r i b uː l
raas	r æː s
raashidiin	r æː ʃ i d iː n
raashidiinta	r æː ʃ i d iː n t æ
raashin	r æː ʃ i n
raaska	r æː s k æ
raaskambooni	r æː s k æ m b ɔː n i
raasta	r æː s t æ
raaxada	r æː ħ æ d æ
raaxo	r æː ħ ɔ
raaxoole	r æː ħ ɔː l e
rab	r æ b
rabaayad	r æ b æː j æ d
rabanne	r æ b æ n n e
rabat	r æ b æ t
rabbi	r æ b b i
rabdhuure	r æ b ɖ uː r e
rabi	r æ b i
rabic	r æ b i ʕ
rabicah	r æ b i ʕ æ h
rabiicul	r æ b iː ʕ u l
rabil	r æ b i l
rabo	r æ b ɔ
rabshada	r æ b ʃ æ d æ
rabshadaha	r æ b ʃ æ d æ h æ
rabshado	r æ b ʃ æ d ɔ
rabsho	r æ b ʃ ɔ
rachel	r æ ʕ h e l
raci	r æ ʕ i
racib	r æ ʕ i b
racing	r æ ʕ i n ɡ
radebe	r æ d e b e
radhi	r æ ɖ i
radio	r æ d i ɔ
radiosurgery	r æ d i ɔ s u r ɡ e r j
radium	r æ d i u m
radon	r æ d ɔ n
rae	r æ e
raelismi	r æ e l i s m i
rafael	r æ f æ e l
rafeal	r æ f e æ l
rafle	r æ f l e
rag	r æ ɡ
ragga	r æ ɡ ɡ æ
ragini	r æ ɡ i n i
ragir	r æ ɡ i r
ragragasho	r æ ɡ r æ ɡ æ ʃ ɔ
ragxun	r æ ɡ ħ u n
rah	r æ h
rahal	r æ h æ l
rahama	r æ h æ m æ
rahm	r æ h m
rahman	r æ h m æ n
rai	r æ i
railway	r æ i l w æ j
raimi	r æ i m i
rainbow	r æ i n b ɔ w
rainforest	r æ i n f ɔ r e s t
rajab	r æ d͡ʒ æ b
rajabeeto	r æ d͡ʒ æ b eː t ɔ
rajada	r æ d͡ʒ æ d æ
rajamangala	r æ d͡ʒ æ m æ n ɡ æ l æ
raji	r æ d͡ʒ i
rakaabka	r æ k æː b k æ
raki	r æ k i
rakibaadda	r æ k i b æː d d æ
rako	r æ k ɔ
ralph	r æ l h
ram	r æ m
ramadaan	r æ m æ d æː n
ramadan	r æ m æ d æ n
ramalina	r æ m æ l i n æ
ramaphosa	r æ m æ h ɔ s æ
ramla	r æ m l æ
ramotholo	r æ m ɔ t h ɔ l ɔ
rampolokeng	r æ m ɔ l ɔ k e n ɡ
rams	r æ m s
ramsar	r æ m s æ r
ramsay	r æ m s æ j
ramsden	r æ m s d e n
ramsey	r æ m s e j
rand	r æ n d
randall	r æ n d æ l l
randi	r æ n d i
range	r æ n ɡ e
rani	r æ n i
rankin	r æ n k i n
ranya	r æ n j æ
rao	r æ ɔ
raphael	r æ h æ e l
rapper	r æ e r
rapulana	r æ u l æ n æ
raqay	r æ q æ j
raqsey	r æ q s e j
raquel	r æ q u e l
rard	r æ r d
rare	r æ r e
ras	r æ s
rasaas	r æ s æː s
rasak	r æ s æ k
rasaq	r æ s æ q
rashaida	r æ ʃ æ i d æ
rasheed	r æ ʃ eː d
rashidiinta	r æ ʃ i d iː n t æ
rashiid	r æ ʃ iː d
rask	r æ s k
rasmiga	r æ s m i ɡ æ
rasmussen	r æ s m u s s e n
rassine	r æ s s i n e
rasul	r æ s u l
rasuul	r æ s uː l
rasuulka	r æ s uː l k æ
ratcliffe	r æ t ʕ l i f f e
rate	r æ t e
ratiga	r æ t i ɡ æ
ratna	r æ t n æ
rauch	r æ u ʕ h
rawdah	r æ w d æ h
raxanwayn	r æ ħ æ n w æ j n
raxanweyn	r æ ħ æ n w e j n
raxiim	r æ ħ iː m
raxma	r æ ħ m æ
raxmaan	r æ ħ m æː n
raxman	r æ ħ m æ n
ray	r æ j
rayaale	r æ j æː l e
rayale	r æ j æ l e
rayan	r æ j æ n
raycolt	r æ j ʕ ɔ l t
rayhana	r æ j h æ n æ
rayid	r æ j i d
rayidka	r æ j i d k æ
raymond	r æ j m ɔ n d
rays	r æ j s
razaq	r æ æ q
rcn	r ʕ n
rd	r d
re	r e
reagan	r e æ ɡ æ n
real	r e æ l
reanu	r e æ n u
rebecca	r e b e ʕ ʕ æ
rebiana	r e b i æ n æ
recep	r e ʕ e
rectangle	r e ʕ t æ n ɡ l e
red	r e d
rede	r e d e
redlinghofer	r e d l i n ɡ h ɔ f e r
redtube	r e d t u b e
ree	r eː
reekado	r eː k æ d ɔ
reer	r eː r
reerbeede	r eː r b eː d e
reeriidle	r eː r iː d l e
reerow	r eː r ɔ w
reeryoonis	r eː r j ɔː n i s
rees	r eː s
reese	r eː s e
reeve	r eː e
reexaan	r eː ħ æː n
refrain	r e f r æ i n
refund	r e f u n d
