aa	a a
malna	m a l n a
malo	m a l o
malonat	m a l o n a t
malpensa	m a l p e n s a
malta	m a l t a
maluku	m a l u k u
mamalia	m a m a l i a
mamasa	m a m a s a
mambu	m a m b̤ u
mambulau	m a m b̤ u l a u
mampang	m a m p a ŋ
mamuju	m a m u d͡ʒ̤ u
man	m a n
manado	m a n a d̪̤ o
manajemen	m a n a d͡ʒ̤ e m e n
manan	m a n a n
manangi	m a n a ŋ i
mananta	m a n a n t a
manap	m a n a p
mancha	m a n t͡ʃ h a
manchester	m a n t͡ʃ h e s t e r
manci	m a n t͡ʃ i
mandailing	m a n d̪̤ a i l i ŋ
mandar	m a n d̪̤ a r
mandara	m a n d̪̤ a r a
mandarin	m a n d̪̤ a r i n
mandastana	m a n d̪̤ a s t a n a
mandharin	m a n ɖ̤ a r i n
mandi	m a n d̪̤ i
mandib	m a n d̪̤ i b̤
mandiraja	m a n d̪̤ i r a d͡ʒ̤ a
mandiri	m a n d̪̤ i r i
mandoge	m a n d̪̤ o ɡ̤ e
mandzhiyev	m a n d̪̤ z h i j e v
mangan	m a ŋ a n
mangasi	m a ŋ a s i
manggalan	m a ŋ ɡ̤ a l a n
manggarai	m a ŋ ɡ̤ a r a i
manggis	m a ŋ ɡ̤ i s
manghas	m a ŋ h a s
mangkasar	m a ŋ k a s a r
mangkok	m a ŋ k o k
mangrove	m a ŋ r o v e
mangsa	m a ŋ s a
mangunkusumo	m a ŋ u n k u s u m o
manhattan	m a n h a t t a n
mania	m a n i a
manika	m a n i k a
manikmaya	m a n i k m a j a
maninjau	m a n i n d͡ʒ̤ a u
manis	m a n i s
manisrengga	m a n i s r e ŋ ɡ̤ a
manokwari	m a n o k w a r i
mansour	m a n s o u r
mansur	m a n s u r
mantangai	m a n t a ŋ a i
mantewe	m a n t e w e
mantika	m a n t i k a
mantingan	m a n t i ŋ a n
mantri	m a n t r i
mantu	m a n t u
manullang	m a n u l l a ŋ
manungsa	m a n u ŋ s a
manusia	m a n u s i a
manyar	m a ɲ a r
manyaran	m a ɲ a r a n
manyura	m a ɲ u r a
mappanyukki	m a p p a ɲ u k k i
mappi	m a p p i
mapuche	m a p u t͡ʃ h e
maqdis	m a q d̪̤ i s
mar	m a r
marabahan	m a r a b̤ a h a n
maraja	m a r a d͡ʒ̤ a
maramis	m a r a m i s
marang	m a r a ŋ
marani	m a r a n i
marcelo	m a r t͡ʃ e l o
marchisio	m a r t͡ʃ h i s i o
mares	m a r e s
maret	m a r e t
maretha	m a r e ʈ a
marga	m a r ɡ̤ a
margadana	m a r ɡ̤ a d̪̤ a n a
margareja	m a r ɡ̤ a r e d͡ʒ̤ a
margasari	m a r ɡ̤ a s a r i
margayasa	m a r ɡ̤ a j a s a
maria	m a r i a
marie	m a r i e
marino	m a r i n o
markings	m a r k i ŋ s
marlborough	m a r l b̤ o r o u ɡ̤ h
marley	m a r l e j
marmar	m a r m a r
maroon	m a r o o n
maros	m a r o s
marot	m a r o t
marriner	m a r r i n e r
marriott	m a r r i o t t
mars	m a r s
marsanich	m a r s a n i t͡ʃ h
marshal	m a r s h a l
marshall	m a r s h a l l
martapura	m a r t a p u r a
martayudan	m a r t a j u d̪̤ a n
martial	m a r t i a l
martin	m a r t i n
martina	m a r t i n a
martino	m a r t i n o
martopuro	m a r t o p u r o
martowardojo	m a r t o w a r d̪̤ o d͡ʒ̤ o
martzu	m a r t z u
maruko	m a r u k o
marun	m a r u n
marvel	m a r v e l
mary	m a r j
maryam	m a r j a m
mas	m a s
masak	m a s a k
masakan	m a s a k a n
masala	m a s a l a
masarakat	m a s a r a k a t
masaran	m a s a r a n
masari	m a s a r i
mash	m a s h
masih	m a s i h
masilam	m a s i l a m
masin	m a s i n
masiv	m a s i v
masoh	m a s o h
mason	m a s o n
masry	m a s r j
massachusetts	m a s s a t͡ʃ h u s e t t s
massaid	m a s s a i d̪̤
massal	m a s s a l
massepe	m a s s e p e
masterson	m a s t e r s o n
masura	m a s u r a
masy	m a s j
mata	m a t a
mataram	m a t a r a m
mataraman	m a t a r a m a n
matesih	m a t e s i h
mathematical	m a ʈ e m a t i t͡ʃ a l
mathison	m a ʈ i s o n
mati	m a t i
matin	m a t i n
matthews	m a t ʈ e w s
matthias	m a t ʈ i a s
matuidi	m a t u i d̪̤ i
mau	m a u
maududi	m a u d̪̤ u d̪̤ i
maulana	m a u l a n a
mawa	m a w a
mawar	m a w a r
mawardi	m a w a r d̪̤ i
max	m a ks
maxwell	m a ks w e l l
may	m a j
mayang	m a j a ŋ
maybrat	m a j b̤ r a t
maynadier	m a j n a d̪̤ i e r
mayong	m a j o ŋ
mayor	m a j o r
mays	m a j s
mbang	m b̤ a ŋ
mber	m b̤ e r
mburi	m b̤ u r i
mcarthur	m t͡ʃ a r ʈ u r
mcauliffe	m t͡ʃ a u l i f f e
mccalmont	m t͡ʃ t͡ʃ a l m o n t
mccann	m t͡ʃ t͡ʃ a n n
mcclain	m t͡ʃ t͡ʃ l a i n
mcfadzean	m t͡ʃ f a d̪̤ z e a n
mcgeady	m t͡ʃ ɡ̤ e a d̪̤ j
mcgrandles	m t͡ʃ ɡ̤ r a n d̪̤ l e s
mcgrath	m t͡ʃ ɡ̤ r a ʈ
mclaughlin	m t͡ʃ l a u ɡ̤ h l i n
me	m e
meatball	m e a t b̤ a l l
meatballs	m e a t b̤ a l l s
mebude	m e b̤ u d̪̤ e
medan	m e d̪̤ a n
medhali	m e ɖ̤ a l i
mega	m e ɡ̤ a
megaluh	m e ɡ̤ a l u h
mehang	m e h a ŋ
mehmeti	m e h m e t i
mei	m e i
mein	m e i n
meinhof	m e i n h o f
meja	m e d͡ʒ̤ a
mejid	m e d͡ʒ̤ i d̪̤
mek	m e k
mekar	m e k a r
meksa	m e k s a
meland	m e l a n d̪̤
melaya	m e l a j a
melayu	m e l a j u
melbourne	m e l b̤ o u r n e
melchior	m e l t͡ʃ h i o r
meleri	m e l e r i
mello	m e l l o
melu	m e l u
memanggil	m e m a ŋ ɡ̤ i l
memey	m e m e j
men	m e n
mena	m e n a
menak	m e n a k
menang	m e n a ŋ
mencia	m e n t͡ʃ i a
mendhung	m e n ɖ̤ u ŋ
mendler	m e n d̪̤ l e r
mendoyo	m e n d̪̤ o j o
mendut	m e n d̪̤ u t
menem	m e n e m
menengah	m e n e ŋ a h
menez	m e n e z
menganti	m e ŋ a n t i
mengapa	m e ŋ a p a
mengelom	m e ŋ e l o m
menggiring	m e ŋ ɡ̤ i r i ŋ
mengkasar	m e ŋ k a s a r
mengko	m e ŋ k o
mengwi	m e ŋ w i
menoreh	m e n o r e h
mensah	m e n s a h
menstruasi	m e n s t r u a s i
ment	m e n t
mentah	m e n t a h
mentawa	m e n t a w a
mentaya	m e n t a j a
menteri	m e n t e r i
mentri	m e n t r i
menu	m e n u
menurut	m e n u r u t
menyang	m e ɲ a ŋ
merah	m e r a h
merak	m e r a k
meranti	m e r a n t i
mercedes	m e r t͡ʃ e d̪̤ e s
mergangsan	m e r ɡ̤ a ŋ s a n
merkel	m e r k e l
merpati	m e r p a t i
merrie	m e r r i e
mers	m e r s
mert	m e r t
mertayudan	m e r t a j u d̪̤ a n
mesin	m e s i n
mesir	m e s i r
messer	m e s s e r
messier	m e s s i e r
messina	m e s s i n a
meteorologi	m e t e o r o l o ɡ̤ i
meto	m e t o
metro	m e t r o
meuseukat	m e u s e u k a t
meutia	m e u t i a
meyler	m e j l e r
meyriska	m e j r i s k a
mi	m i
mia	m i a
miber	m i b̤ e r
michael	m i t͡ʃ h a e l
michelangelo	m i t͡ʃ h e l a ŋ e l o
michelini	m i t͡ʃ h e l i n i
micro	m i t͡ʃ r o
middleton	m i d̪̤ d̪̤ l e t o n
midget	m i d̪̤ ɡ̤ e t
midi	m i d̪̤ i
midway	m i d̪̤ w a j
mie	m i e
migran	m i ɡ̤ r a n
mihardja	m i h a r d̪̤ d͡ʒ̤ a
mihyar	m i h j a r
mij	m i d͡ʒ̤
mijasastran	m i d͡ʒ̤ a s a s t r a n
mikola	m i k o l a
mikro	m i k r o
mil	m i l
milan	m i l a n
milenium	m i l e n i u m
mili	m i l i
miliaris	m i l i a r i s
milit	m i l i t
militer	m i l i t e r
milk	m i l k
miller	m i l l e r
milli	m i l l i
milne	m i l n e
mimika	m i m i k a
minahasa	m i n a h a s a
minangk	m i n a ŋ k
minangka	m i n a ŋ k a
minangkabau	m i n a ŋ k a b̤ a u
minangkabo	m i n a ŋ k a b̤ o
minds	m i n d̪̤ s
mineiro	m i n e i r o
mineral	m i n e r a l
minggir	m i ŋ ɡ̤ i r
minggu	m i ŋ ɡ̤ u
minho	m i n h o
mini	m i n i
minor	m i n o r
minuman	m i n u m a n
minyak	m i ɲ a k
mira	m i r a
mirau	m i r a u
mirella	m i r e l l a
miri	m i r i
mirza	m i r z a
mis	m i s
miscano	m i s t͡ʃ a n o
miss	m i s s
misuwur	m i s u w u r
mitak	m i t a k
mitchell	m i t t͡ʃ h e l l
mitologi	m i t o l o ɡ̤ i
miturut	m i t u r u t
miyamoto	m i j a m o t o
mizwar	m i z w a r
mlangga	m l a ŋ ɡ̤ a
mlathi	m l a ʈ i
mlebu	m l e b̤ u
mleng	m l e ŋ
mleri	m l e r i
mliwis	m l i w i s
mlo	m l o
mlumpat	m l u m p a t
mno	m n o
mo	m o
mobil	m o b̤ i l
mobile	m o b̤ i l e
mocha	m o t͡ʃ h a
modal	m o d̪̤ a l
modena	m o d̪̤ e n a
modjo	m o d̪̤ d͡ʒ̤ o
modung	m o d̪̤ u ŋ
moeis	m o e i s
moen	m o e n
moenir	m o e n i r
moeremans	m o e r e m a n s
moertopo	m o e r t o p o
moezakir	m o e z a k i r
moga	m o ɡ̤ a
mohmand	m o h m a n d̪̤
mohorovi	m o h o r o v i
moisiu	m o i s i u
molekul	m o l e k u l
molekular	m o l e k u l a r
molk	m o l k
mommas	m o m m a s
mommsen	m o m m s e n
moms	m o m s
mon	m o n
monaco	m o n a t͡ʃ o
monamon	m o n a m o n
monet	m o n e t
monferrato	m o n f e r r a t o
monginsidi	m o ŋ i n s i d̪̤ i
mongol	m o ŋ o l
mongolia	m o ŋ o l i a
mongolian	m o ŋ o l i a n
mongondow	m o ŋ o n d̪̤ o w
monica	m o n i t͡ʃ a
mono	m o n o
monofosfat	m o n o f o s f a t
mononutu	m o n o n u t u
monorail	m o n o r a i l
mons	m o n s
monsieur	m o n s i e u r
mont	m o n t
monta	m o n t a
montafie	m o n t a f i e
montane	m o n t a n e
monte	m o n t e
monten	m o n t e n
montenegro	m o n t e n e ɡ̤ r o
montes	m o n t e s
montesquieu	m o n t e s q u i e u
montreal	m o n t r e a l
moon	m o o n
moore	m o o r e
mop	m o p
morada	m o r a d̪̤ a
morangan	m o r a ŋ a n
moreno	m o r e n o
moretz	m o r e t z
morgan	m o r ɡ̤ a n
mori	m o r i
moriringgo	m o r i r i ŋ ɡ̤ o
morisot	m o r i s o t
morita	m o r i t a
morley	m o r l e j
moro	m o r o
morowali	m o r o w a l i
morris	m o r r i s
morton	m o r t o n
morukov	m o r u k o v
moscow	m o s t͡ʃ o w
moses	m o s e s
moshir	m o s h i r
mot	m o t
motif	m o t i f
motor	m o t o r
motto	m o t t o
mountain	m o u n t a i n
moutong	m o u t o ŋ
movie	m o v i e
movies	m o v i e s
moyes	m o j e s
mp	m p
mrangg	m r a ŋ ɡ̤
mrapen	m r a p e n
mrebet	m r e b̤ e t
mripat	m r i p a t
mu	m u
muang	m u a ŋ
muara	m u a r a
muaro	m u a r o
mubarak	m u b̤ a r a k
muchtar	m u t͡ʃ h t a r
mudha	m u ɖ̤ a
muenchen	m u e n t͡ʃ h e n
mufiz	m u f i z
muhammad	m u h a m m a d̪̤
mui	m u i
muis	m u i s
muka	m u k a
mukai	m u k a i
muko	m u k o
mukti	m u k t i
mula	m u l a
mulia	m u l i a
muliana	m u l i a n a
muljadi	m u l d͡ʒ̤ a d̪̤ i
muljono	m u l d͡ʒ̤ o n o
muljoto	m u l d͡ʒ̤ o t o
mulligan	m u l l i ɡ̤ a n
mulya	m u l j a
mulyo	m u l j o
muna	m u n a
muncar	m u n t͡ʃ a r
mundu	m u n d̪̤ u
mungkid	m u ŋ k i d̪̤
mungkur	m u ŋ k u r
mungsuh	m u ŋ s u h
munro	m u n r o
munsyi	m u n s j i
munthilan	m u n ʈ i l a n
muntilan	m u n t i l a n
murca	m u r t͡ʃ a
murda	m u r d̪̤ a
muric	m u r i t͡ʃ
muricata	m u r i t͡ʃ a t a
murillo	m u r i l l o
murni	m u r n i
murray	m u r r a j
murung	m u r u ŋ
murwito	m u r w i t o
musaddad	m u s a d̪̤ d̪̤ a d̪̤
muscaria	m u s t͡ʃ a r i a
muscle	m u s t͡ʃ l e
museum	m u s e u m
musi	m u s i
musical	m u s i t͡ʃ a l
musik	m u s i k
musin	m u s i n
musiyum	m u s i j u m
muslim	m u s l i m
musonda	m u s o n d̪̤ a
mussolini	m u s s o l i n i
mustadrak	m u s t a d̪̤ r a k
mustafa	m u s t a f a
mustika	m u s t i k a
mustofa	m u s t o f a
musuk	m u s u k
muthalib	m u ʈ a l i b̤
muththalib	m u ʈ ʈ a l i b̤
muttalib	m u t t a l i b̤
mutter	m u t t e r
muwaffaq	m u w a f f a q
my	m j
myanmar	m j a n m a r
mydas	m j d̪̤ a s
myology	m j o l o ɡ̤ j
myon	m j o n
myung	m j u ŋ
na	n a
nababan	n a b̤ a b̤ a n
nabi	n a b̤ i
nabonenar	n a b̤ o n e n a r
nabung	n a b̤ u ŋ
nadia	n a d̪̤ i a
nadim	n a d̪̤ i m
naga	n a ɡ̤ a
nagara	n a ɡ̤ a r a
nagari	n a ɡ̤ a r i
nagasari	n a ɡ̤ a s a r i
nagri	n a ɡ̤ r i
nairamdakh	n a i r a m d̪̤ a k h
nairiku	n a i r i k u
nak	n a k
nakhoda	n a k h o d̪̤ a
naliputra	n a l i p u t r a
nalumsari	n a l u m s a r i
name	n a m e
namibia	n a m i b̤ i a
namnung	n a m n u ŋ
namu	n a m u
nan	n a n
nanas	n a n a s
nang	n a ŋ
nangga	n a ŋ ɡ̤ a
nanggulan	n a ŋ ɡ̤ u l a n
nanging	n a ŋ i ŋ
nanjing	n a n d͡ʒ̤ i ŋ
napal	n a p a l
napoca	n a p o t͡ʃ a
napu	n a p u
narada	n a r a d̪̤ a
naradaya	n a r a d̪̤ a j a
nararya	n a r a r j a
narbonne	n a r b̤ o n n e
nari	n a r i
narita	n a r i t a
narkotika	n a r k o t i k a
naruto	n a r u t o
nasa	n a s a
nasal	n a s a l
naser	n a s e r
nasery	n a s e r j
nash	n a s h
nasib	n a s i b̤
nasional	n a s i o n a l
nasrun	n a s r u n
nassau	n a s s a u
nasser	n a s s e r
nasution	n a s u t i o n
nat	n a t
natal	n a t a l
natale	n a t a l e
natalia	n a t a l i a
natas	n a t a s
national	n a t i o n a l
nationale	n a t i o n a l e
nato	n a t o
nature	n a t u r e
nau	n a u
navajo	n a v a d͡ʒ̤ o
navis	n a v i s
nawangwulan	n a w a ŋ w u l a n
nchez	n t͡ʃ h e z
nci	n t͡ʃ i
ncia	n t͡ʃ i a
ncong	n t͡ʃ o ŋ
ncov	n t͡ʃ o v
nd	n d̪̤
ndah	n d̪̤ a h
ndalu	n d̪̤ a l u
ndelag	n d̪̤ e l a ɡ̤
nderal	n d̪̤ e r a l
ndez	n d̪̤ e z
ndhol	n ɖ̤ o l
ndi	n d̪̤ i
ndral	n d̪̤ r a l
ndrang	n d̪̤ r a ŋ
ne	n e
nebel	n e b̤ e l
neely	n e e l j
negara	n e ɡ̤ a r a
negeri	n e ɡ̤ e r i
negro	n e ɡ̤ r o
neil	n e i l
nekat	n e k a t
nelson	n e l s o n
nemarken	n e m a r k e n
nenets	n e n e t s
nepal	n e p a l
neraka	n e r a k a
nes	n e s
net	n e t
netanyahu	n e t a ɲ a h u
nets	n e t s
network	n e t w o r k
neu	n e u
neuch	n e u t͡ʃ h
neurology	n e u r o l o ɡ̤ j
new	n e w
newby	n e w b̤ j
news	n e w s
neyrot	n e j r o t
ng	ŋ
ngabeyan	ŋ a b̤ e j a n
ngablak	ŋ a b̤ l a k
ngada	ŋ a d̪̤ a
ngadiluwih	ŋ a d̪̤ i l u w i h
ngadiraja	ŋ a d̪̤ i r a d͡ʒ̤ a
ngadireja	ŋ a d̪̤ i r e d͡ʒ̤ a
ngadus	ŋ a d̪̤ u s
ngaglik	ŋ a ɡ̤ l i k
ngajung	ŋ a d͡ʒ̤ u ŋ
ngaliyan	ŋ a l i j a n
ngambon	ŋ a m b̤ o n
ngamp	ŋ a m p
ngan	ŋ a n
ngancar	ŋ a n t͡ʃ a r
ngandung	ŋ a n d̪̤ u ŋ
nganggo	ŋ a ŋ ɡ̤ o
ngangrang	ŋ a ŋ r a ŋ
nganjuk	ŋ a n d͡ʒ̤ u k
ngantang	ŋ a n t a ŋ
ngara	ŋ a r a
ngargayasa	ŋ a r ɡ̤ a j a s a
ngaringan	ŋ a r i ŋ a n
ngasem	ŋ a s e m
ngaw	ŋ a w
ngawen	ŋ a w e n
ngawi	ŋ a w i
ngayogyakarta	ŋ a j o ɡ̤ j a k a r t a
ngelmuwan	ŋ e l m u w a n
ngemplak	ŋ e m p l a k
ngempon	ŋ e m p o n
ngenani	ŋ e n a n i
ngepet	ŋ e p e t
ngesot	ŋ e s o t
ngetos	ŋ e t o s
ngg	ŋ ɡ̤
nggad	ŋ ɡ̤ a d̪̤
nggada	ŋ ɡ̤ a d̪̤ a
nggayuh	ŋ ɡ̤ a j u h
nggedhekake	ŋ ɡ̤ e ɖ̤ e k a k e
nggetih	ŋ ɡ̤ e t i h
ngimbang	ŋ i m b̤ a ŋ
ngisor	ŋ i s o r
ngkrang	ŋ k r a ŋ
nglakoni	ŋ l a k o n i
nglalu	ŋ l a l u
nglegok	ŋ l e ɡ̤ o k
nglimut	ŋ l i m u t
ngluwar	ŋ l u w a r
ngoko	ŋ o k o
ngombol	ŋ o m b̤ o l
ngomong	ŋ o m o ŋ
ngomongo	ŋ o m o ŋ o
ngon	ŋ o n
ngos	ŋ o s
ngraho	ŋ r a h o
ngrampal	ŋ r a m p a l
ngu	ŋ u
ngumbar	ŋ u m b̤ a r
nguntal	ŋ u n t a l
nguntaranadi	ŋ u n t a r a n a d̪̤ i
ngurah	ŋ u r a h
ngusikan	ŋ u s i k a n
nguter	ŋ u t e r
nh	n h
nhat	n h a t
ni	n i
nia	n i a
nias	n i a s
nicolle	n i t͡ʃ o l l e
nies	n i e s
nigeria	n i ɡ̤ e r i a
nigerias	n i ɡ̤ e r i a s
night	n i ɡ̤ h t
nightmare	n i ɡ̤ h t m a r e
nik	n i k
nil	n i l
nila	n i l a
nimitz	n i m i t z
nimo	n i m o
nin	n i n
nindan	n i n d̪̤ a n
ning	n i ŋ
ninggi	n i ŋ ɡ̤ i
nio	n i o
nipa	n i p a
nirui	n i r u i
nirwanto	n i r w a n t o
nishapur	n i s h a p u r
nisp	n i s p
nitik	n i t i k
nitimiharja	n i t i m i h a r d͡ʒ̤ a
nitrat	n i t r a t
niugini	n i u ɡ̤ i n i
nium	n i u m
niura	n i u r a
nivola	n i v o l a
njor	n d͡ʒ̤ o r
nlundulu	n l u n d̪̤ u l u
nmark	n m a r k
nn	n n
nnal	n n a l
no	n o
nobel	n o b̤ e l
nobuharu	n o b̤ u h a r u
noer	n o e r
nogada	n o ɡ̤ a d̪̤ a
noisette	n o i s e t t e
nom	n o m
nomer	n o m e r
noor	n o o r
noord	n o o r d̪̤
nop	n o p
nord	n o r d̪̤
nordland	n o r d̪̤ l a n d̪̤
norin	n o r i n
norma	n o r m a
norman	n o r m a n
normandie	n o r m a n d̪̤ i e
norton	n o r t o n
norw	n o r w
norway	n o r w a j
norwegia	n o r w e ɡ̤ i a
nosf	n o s f
notation	n o t a t i o n
note	n o t e
notohadinegoro	n o t o h a d̪̤ i n e ɡ̤ o r o
notonegoro	n o t o n e ɡ̤ o r o
nou	n o u
nouveau	n o u v e a u
nouvelles	n o u v e l l e s
nov	n o v
nova	n o v a
novel	n o v e l
november	n o v e m b̤ e r
novianti	n o v i a n t i
novika	n o v i k a
now	n o w
noya	n o j a
nr	n r
nreja	n r e d͡ʒ̤ a
nsiala	n s i a l a
nsik	n s i k
nsin	n s i n
nt	n t
nta	n t a
ntahan	n t a h a n
ntico	n t i t͡ʃ o
ntik	n t i k
ntina	n t i n a
nto	n t o
ntrasi	n t r a s i
ntris	n t r i s
nuban	n u b̤ a n
nucifera	n u t͡ʃ i f e r a
nuestra	n u e s t r a
nugraha	n u ɡ̤ r a h a
nugraheni	n u ɡ̤ r a h e n i
nukl	n u k l
nukleat	n u k l e a t
nuklir	n u k l i r
numbers	n u m b̤ e r s
numfor	n u m f o r
nunukan	n u n u k a n
nurdiansyah	n u r d̪̤ i a n s j a h
nurpatria	n u r p a t r i a
nurrohmat	n u r r o h m a t
nurw	n u r w
nusa	n u s a
nusantara	n u s a n t a r a
nusapenida	n u s a p e n i d̪̤ a
nusawungu	n u s a w u ŋ u
nusstort	n u s s t o r t
nuttall	n u t t a l l
nyak	ɲ a k
nyamikan	ɲ a m i k a n
nyapau	ɲ a p a u
nyapu	ɲ a p u
nyawuk	ɲ a w u k
nyenggut	ɲ e ŋ ɡ̤ u t
nyiwuh	ɲ i w u h
nyuw	ɲ u w
nyuwek	ɲ u w e k
nz	n z
nzowat	n z o w a t
oare	o a r e
obaid	o b̤ a i d̪̤
obama	o b̤ a m a
obat	o b̤ a t
obey	o b̤ e j
obrzegi	o b̤ r z e ɡ̤ i
ocbc	o t͡ʃ b̤ t͡ʃ
ocean	o t͡ʃ e a n
odd	o d̪̤ d̪̤
odimayo	o d̪̤ i m a j o
odonkor	o d̪̤ o n k o r
odrza	o d̪̤ r z a
odzka	o d̪̤ z k a
oefenen	o e f e n e n
oefeto	o e f e t o
oetomo	o e t o m o
of	o f
office	o f f i t͡ʃ e
og	o ɡ̤
ogan	o ɡ̤ a n
ogard	o ɡ̤ a r d̪̤
ogbene	o ɡ̤ b̤ e n e
ogilvie	o ɡ̤ i l v i e
ograd	o ɡ̤ r a d̪̤
oh	o h
ohlsson	o h l s s o n
ois	o i s
okinawa	o k i n a w a
okrug	o k r u ɡ̤
oktar	o k t a r
oktasari	o k t a s a r i
oktober	o k t o b̤ e r
ol	o l
ola	o l a
olahan	o l a h a n
oleh	o l e h
olimpiade	o l i m p i a d̪̤ e
olimpus	o l i m p u s
oliver	o l i v e r
olivia	o l i v i a
ologi	o l o ɡ̤ i
oloh	o l o h
olympics	o l j m p i t͡ʃ s
omah	o m a h
omalu	o m a l u
omar	o m a r
omb	o m b̤
omben	o m b̤ e n
ombre	o m b̤ r e
on	o n
onang	o n a ŋ
once	o n t͡ʃ e
oncong	o n t͡ʃ o ŋ
one	o n e
ongdhi	o ŋ ɖ̤ i
onie	o n i e
ooijer	o o i d͡ʒ̤ e r
oort	o o r t
op	o p
opa	o p a
opak	o p a k
open	o p e n
operasi	o p e r a s i
oppland	o p p l a n d̪̤
or	o r
ora	o r a
orang	o r a ŋ
oranye	o r a ɲ e
orchard	o r t͡ʃ h a r d̪̤
orcus	o r t͡ʃ u s
orda	o r d̪̤ a
organs	o r ɡ̤ a n s
orgia	o r ɡ̤ i a
orlando	o r l a n d̪̤ o
ortega	o r t e ɡ̤ a
osaka	o s a k a
osborne	o s b̤ o r n e
oshilaja	o s h i l a d͡ʒ̤ a
osing	o s i ŋ
ositania	o s i t a n i a
osman	o s m a n
ostenrik	o s t e n r i k
osteology	o s t e o l o ɡ̤ j
oster	o s t e r
ostocka	o s t o t͡ʃ k a
osz	o s z
otanaha	o t a n a h a
otonom	o t o n o m
otonomi	o t o n o m i
ou	o u
ouardigha	o u a r d̪̤ i ɡ̤ h a
outside	o u t s i d̪̤ e
ouyahia	o u j a h i a
owah	o w a h
owie	o w i e
owo	o w o
oxlade	o ks l a d̪̤ e
oxyopidae	o ks j o p i d̪̤ a e
oyod	o j o d̪̤
oyu	o j u
pa	p a
pab	p a b̤
pabedilan	p a b̤ e d̪̤ i l a n
pabelan	p a b̤ e l a n
paciran	p a t͡ʃ i r a n
pacitan	p a t͡ʃ i t a n
packard	p a t͡ʃ k a r d̪̤
pacolli	p a t͡ʃ o l l i
padaleunyi	p a d̪̤ a l e u ɲ i
padamara	p a d̪̤ a m a r a
padang	p a d̪̤ a ŋ
padangan	p a d̪̤ a ŋ a n
pademawu	p a d̪̤ e m a w u
padhet	p a ɖ̤ e t
padhukuhan	p a ɖ̤ u k u h a n
padinan	p a d̪̤ i n a n
pado	p a d̪̤ o
padre	p a d̪̤ r e
padua	p a d̪̤ u a
padukone	p a d̪̤ u k o n e
padunung	p a d̪̤ u n u ŋ
paduresa	p a d̪̤ u r e s a
pagar	p a ɡ̤ a r
pagelaran	p a ɡ̤ e l a r a n
pagentan	p a ɡ̤ e n t a n
pageron	p a ɡ̤ e r o n
pagerruyung	p a ɡ̤ e r r u j u ŋ
pages	p a ɡ̤ e s
pagu	p a ɡ̤ u
pagunungan	p a ɡ̤ u n u ŋ a n
paguyangan	p a ɡ̤ u j a ŋ a n
pahat	p a h a t
pahlawan	p a h l a w a n
pahud	p a h u d̪̤
paikat	p a i k a t
pain	p a i n
paisa	p a i s a
paiwan	p a i w a n
pajimatan	p a d͡ʒ̤ i m a t a n
paju	p a d͡ʒ̤ u
pakarena	p a k a r e n a
pakean	p a k e a n
pakem	p a k e m
pakepung	p a k e p u ŋ
pakis	p a k i s
pakong	p a k o ŋ
paksa	p a k s a
paksi	p a k s i
pakurmatan	p a k u r m a t a n
pakusari	p a k u s a r i
pal	p a l
palace	p a l a t͡ʃ e
palaiologos	p a l a i o l o ɡ̤ o s
palakarta	p a l a k a r t a
palakerta	p a l a k e r t a
palakka	p a l a k k a
palambang	p a l a m b̤ a ŋ
palanangan	p a l a n a ŋ a n
palang	p a l a ŋ
palaran	p a l a r a n
palawa	p a l a w a
pale	p a l e
palem	p a l e m
palembang	p a l e m b̤ a ŋ
palengaan	p a l e ŋ a a n
palenggaan	p a l e ŋ ɡ̤ a a n
palenquero	p a l e n q u e r o
paleografi	p a l e o ɡ̤ r a f i
palereman	p a l e r e m a n
palermo	p a l e r m o
palestina	p a l e s t i n a
palgadhing	p a l ɡ̤ a ɖ̤ i ŋ
pali	p a l i
palimanan	p a l i m a n a n
paling	p a l i ŋ
pallas	p a l l a s
pallawa	p a l l a w a
palmer	p a l m e r
palmyra	p a l m j r a
palopo	p a l o p o
palsy	p a l s j
palungguhan	p a l u ŋ ɡ̤ u h a n
pamaburan	p a m a b̤ u r a n
pamain	p a m a i n
pamanasan	p a m a n a s a n
pamangkih	p a m a ŋ k i h
pamar	p a m a r
pambajak	p a m b̤ a d͡ʒ̤ a k
pambangunan	p a m b̤ a ŋ u n a n
pamekasan	p a m e k a s a n
pamenang	p a m e n a ŋ
pamimpin	p a m i m p i n
paminggir	p a m i ŋ ɡ̤ i r
pamit	p a m i t
pamona	p a m o n a
pamotan	p a m o t a n
pamplona	p a m p l o n a
pamrograman	p a m r o ɡ̤ r a m a n
pamukan	p a m u k a n
pamungkas	p a m u ŋ k a s
pamuntjak	p a m u n t d͡ʒ̤ a k
panai	p a n a i
panampa	p a n a m p a
panaraban	p a n a r a b̤ a n
panaraga	p a n a r a ɡ̤ a
panarukan	p a n a r u k a n
panas	p a n a s
panataran	p a n a t a r a n
pancakusuma	p a n t͡ʃ a k u s u m a
pancasila	p a n t͡ʃ a s i l a
pancawarna	p a n t͡ʃ a w a r n a
panceng	p a n t͡ʃ e ŋ
pancernaan	p a n t͡ʃ e r n a a n
pancoran	p a n t͡ʃ o r a n
pancur	p a n t͡ʃ u r
pandak	p a n d̪̤ a k
